track_id,chroma_stft_mean_01,chroma_stft_mean_02,chroma_stft_mean_03,chroma_stft_mean_04,chroma_stft_mean_05,chroma_stft_mean_06,chroma_stft_mean_07,chroma_stft_mean_08,chroma_stft_mean_09,chroma_stft_mean_10,chroma_stft_mean_11,chroma_stft_mean_12,chroma_stft_std_01,chroma_stft_std_02,chroma_stft_std_03,chroma_stft_std_04,chroma_stft_std_05,chroma_stft_std_06,chroma_stft_std_07,chroma_stft_std_08,chroma_stft_std_09,chroma_stft_std_10,chroma_stft_std_11,chroma_stft_std_12,mfcc_mean_01,mfcc_mean_02,mfcc_mean_03,mfcc_mean_04,mfcc_mean_05,mfcc_mean_06,mfcc_mean_07,mfcc_mean_08,mfcc_mean_09,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_01,mfcc_std_02,mfcc_std_03,mfcc_std_04,mfcc_std_05,mfcc_std_06,mfcc_std_07,mfcc_std_08,mfcc_std_09,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,rms_mean_01,rms_std_01,spectral_centroid_mean_01,spectral_centroid_std_01,zcr_mean_01,zcr_std_01
2,0.747006,0.465571,0.376991,0.346401,0.276217,0.234040,0.272904,0.419900,0.372483,0.358381,0.378400,0.515734,0.301848,0.270969,0.287647,0.258462,0.213145,0.218078,0.221976,0.283803,0.271485,0.280620,0.263534,0.276085,-66.780685,64.261803,-9.776764,11.287591,-2.419144,9.037897,-1.113319,4.549839,-5.305121,0.244527,-9.495333,2.582338,-2.203632,7.398253,-2.523041,0.485628,-7.729595,-2.777132,-2.228587,-0.605780,54.076267,30.470562,22.822813,17.698053,17.536114,13.828365,12.514816,9.406928,10.268208,8.726368,9.579127,10.553062,8.807651,7.838546,7.306114,7.072907,7.308831,7.230115,7.195039,6.366723,0.085953,0.053469,3056.587891,997.470154,0.164406,0.093938
5,0.408774,0.578310,0.398189,0.341066,0.322690,0.329029,0.373279,0.398300,0.488417,0.491822,0.507683,0.457453,0.259647,0.327754,0.257831,0.263300,0.256669,0.267349,0.285668,0.283740,0.329726,0.324820,0.319097,0.309570,-106.024376,86.379105,13.008849,23.293480,-0.130091,11.995469,-4.708312,16.552200,-5.427786,-0.882503,-1.031715,8.082430,4.215745,6.530336,0.972415,0.191700,-3.410300,-1.281569,-0.917979,0.685662,47.070614,29.118790,21.401180,17.784378,16.619169,13.591796,11.611458,10.047246,9.798634,10.164438,9.918045,8.554282,9.488086,7.514154,7.351100,8.123810,6.713108,6.629267,8.085360,8.035872,0.088805,0.053615,2430.188965,878.139465,0.100544,0.067248
10,0.283685,0.649419,0.330624,0.347292,0.231403,0.323438,0.700743,0.338985,0.381055,0.308978,0.569383,0.307269,0.167281,0.292649,0.162237,0.255631,0.144595,0.171947,0.288188,0.173736,0.273142,0.210971,0.284800,0.196234,-16.811268,93.612061,-47.824642,31.577908,-3.762671,1.410515,-1.508164,1.884859,-4.522624,-0.247139,-8.496406,1.502116,-5.694397,1.954596,-4.378735,-1.583632,-2.519911,2.381659,-0.388514,3.240077,28.820261,20.560604,17.618168,11.720851,11.232319,7.719640,8.091219,7.520698,7.665864,6.616942,6.929977,5.945480,6.059512,5.559238,5.726150,6.524522,5.731713,6.350440,5.508020,5.445374,0.114076,0.031983,2358.129150,382.231567,0.148947,0.028327
140,0.242838,0.270964,0.364772,0.345893,0.379862,0.433202,0.273431,0.234015,0.200707,0.274969,0.294747,0.230707,0.291806,0.253856,0.356526,0.300197,0.341156,0.373767,0.261409,0.308118,0.224932,0.302572,0.336183,0.242832,-278.153168,100.806282,37.054443,34.905197,26.752947,11.046148,10.796270,4.900579,1.327127,6.392082,-4.154795,-2.221083,-6.230344,2.295227,-7.694824,0.668284,-4.666605,-1.304039,-5.808457,-1.689098,85.818161,35.798805,21.708694,15.549635,14.020220,15.923123,10.831564,10.057596,9.766916,10.726287,9.281979,7.858423,8.204470,7.906865,7.237302,6.592650,6.154854,6.254518,6.819814,6.646987,0.041877,0.024219,1765.877808,1036.000610,0.044525,0.052389
141,0.164104,0.153202,0.243002,0.186743,0.234106,0.373787,0.242960,0.225383,0.214111,0.385499,0.513580,0.214389,0.244562,0.216400,0.289161,0.248618,0.252080,0.348655,0.229258,0.305892,0.237654,0.339759,0.405250,0.204512,-208.307510,116.046402,-1.243542,25.513241,10.181234,-4.659221,7.745489,-5.591129,0.435912,1.755258,-2.862807,-3.865900,-4.367316,2.699063,-1.662530,4.666531,0.269127,2.691867,-8.287061,-1.494864,113.657166,34.913364,16.601109,15.940960,14.106952,14.102345,12.328773,9.941958,9.107447,7.784069,8.258627,8.820259,7.397379,8.559032,9.459825,9.749276,9.598772,7.808608,8.252582,9.453534,0.061718,0.048319,1666.702881,809.798645,0.062031,0.052299
148,0.235886,0.232199,0.220317,0.345158,0.254844,0.252132,0.488326,0.447359,0.427648,0.505443,0.332002,0.243469,0.250897,0.254760,0.200921,0.314165,0.208403,0.175489,0.362558,0.290191,0.300533,0.375108,0.252355,0.229259,8.258978,126.050903,-27.990765,30.939363,12.647900,12.146720,-1.554510,13.965467,-0.398748,8.167109,0.156824,6.457279,0.460390,10.214653,6.677004,5.669966,-0.567692,7.772665,8.852752,4.258811,38.957100,33.548897,24.818590,12.429311,11.440381,8.359513,9.565112,11.437400,8.796851,9.794163,10.137902,9.358738,7.498490,7.357599,6.388845,4.716644,5.480647,8.221957,7.426013,7.875948,0.293337,0.039733,1711.434326,543.107666,0.088242,0.039756
182,0.307800,0.294771,0.357591,0.478392,0.309814,0.464462,0.392004,0.452348,0.321431,0.300152,0.477111,0.276504,0.272857,0.246281,0.268639,0.337133,0.225742,0.334032,0.289519,0.342504,0.246754,0.222836,0.339334,0.216499,-26.026888,136.479309,-60.457939,43.260773,-37.126850,32.284191,-4.256241,13.664617,12.084982,7.206702,12.299840,12.262443,3.352828,11.374690,-2.701548,1.652490,0.051538,-2.030678,-0.628501,-1.725907,25.786171,24.925970,19.137650,9.577632,9.141930,11.551040,9.316397,8.463161,8.024378,7.305707,6.949203,6.499849,6.639580,6.103371,6.912543,6.310809,6.520124,6.738981,7.086237,7.002125,0.168167,0.018307,1877.022949,361.361237,0.100594,0.025330
190,0.229027,0.151594,0.232152,0.199619,0.386097,0.280949,0.255047,0.263290,0.261256,0.308527,0.153797,0.218018,0.305578,0.197869,0.318087,0.184341,0.359738,0.300932,0.281850,0.316497,0.284442,0.345406,0.190655,0.267270,-139.521271,96.601730,-22.872536,25.558336,-7.464844,-3.783872,-21.777050,-7.035938,-19.873028,-6.061238,-16.010571,-5.297312,-8.174129,-6.643648,-7.648324,-9.228781,-8.705999,-2.468817,-5.841622,-8.476314,51.398327,24.937914,16.192652,18.296547,9.462401,10.490450,9.641364,7.315042,10.826733,8.970041,8.246697,9.086227,9.763794,9.549706,10.342359,9.580204,8.959517,9.999951,9.876474,9.850875,0.080643,0.041384,1907.459351,708.275879,0.088524,0.047747
193,0.298463,0.416477,0.387398,0.470246,0.428787,0.325956,0.325929,0.192010,0.313833,0.303526,0.294525,0.271051,0.257856,0.290662,0.294521,0.329309,0.317629,0.273003,0.301835,0.155959,0.288209,0.273720,0.271219,0.209030,-198.018738,120.317375,-29.394861,35.394379,-10.064501,4.930169,-13.594505,-5.610517,-16.011976,-8.161907,-11.371819,-5.357317,-7.500236,-7.435899,-13.542115,-8.798376,-10.156551,-9.017192,-9.160036,-10.055929,100.514221,33.332886,15.649047,14.947972,9.519028,7.692275,11.495553,7.068099,7.971821,8.593300,7.525208,8.049456,8.217470,7.268915,8.406591,8.355497,8.273058,10.093876,9.074751,10.073277,0.050691,0.027230,1588.079224,627.424622,0.077238,0.037965
194,0.286139,0.298745,0.335327,0.241204,0.411567,0.358238,0.239315,0.244188,0.297986,0.427205,0.260151,0.287199,0.263735,0.260412,0.340746,0.198806,0.345089,0.337882,0.236079,0.311365,0.227221,0.335701,0.238249,0.297029,-184.573975,118.748886,-26.507704,29.067913,-8.133896,3.600193,-12.233664,-1.838941,-16.644730,-5.952495,-12.991282,-2.829892,-8.445210,-9.686761,-8.832266,-5.864763,-9.672530,-7.012378,-7.962306,-7.141359,95.316513,24.965488,16.668312,14.729268,11.399337,9.081098,10.725410,7.479388,9.760100,7.982376,8.212473,7.501729,6.859917,7.687220,7.685743,7.151805,8.164815,8.439233,10.775147,9.438411,0.058629,0.035483,1550.167480,490.795593,0.072923,0.029072
